number,title,created_at,closed_at,state,comments,labels,body
4097,[BUG] Ellipsize last column in a table,2026-04-24 05:49:20+00:00,2026-04-24 07:39:02+00:00,closed,1,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

Hello,

I'm trying to create a table where the last column ellipsizes.

### First try

```
#!/usr/bin/python3

from rich.console import Console
from rich.table import Table

console = Console()
table = Table"
4093,[BUG] rich.logging.RichHandler: File links on Windows (VS Code) use incorrect format (file:// instead of file:/// and backslashes),2026-04-23 05:58:41+00:00,,open,1,['Needs triage'],"- [ ] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions. (can't check right now, no internet access in Iran, just a few websites like github are accessible)
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**

When clicking file links generated by `RichHandler` in VS Code terminal on Windows, t"
4090,[BUG] Text.from_ansi leaves empty lines when input string has CRLF line endings,2026-04-22 09:33:27+00:00,,open,4,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**

When `Text.from_ansi` is given an input string with CRLF (`\r\n`) line endings the result is just empty lines:

```
Python 3.12.3 (main, Mar  3 2026, 12:15:18) [GCC 13.3.0] on linux    "
4089,Vulnerability: bump pygments version to 2.20.0,2026-04-22 05:26:42+00:00,2026-04-25 19:29:48+00:00,closed,6,['Needs triage'],"There's a vulnerability in pygments versions 2.19.2 and prior. Can we bump the minimum version this package depends on to avoid that issue? Thanks.

https://nvd.nist.gov/vuln/detail/CVE-2026-4539"
4071,"[BUG] Legacy Windows layer always uses stdout handle, even when stderr stream is used",2026-04-10 19:47:29+00:00,,open,1,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**

rich's legacy Windows layer [always uses stdout for rendering](https://github.com/Textualize/rich/blob/master/rich/_win32_console.py#L362-L363) when one of the standard handles is provi"
4068,[BUG] rich.print does not overwrite previous line with \r like built-in print,2026-04-07 13:36:25+00:00,2026-04-07 13:42:09+00:00,closed,3,['Needs triage'],"- [x] I've checked the documentation: https://rich.readthedocs.io/en/latest/introduction.html
- [x] I can't find my issue in the FAQ: https://github.com/Textualize/rich/blob/master/FAQ.md

## Describe the bug

I'm trying to overwrite the previous line in stdout using `rich.print()`, in the same way this is commonly done with the built-in `print()` function using `\r` (carriage return) and flushing the output.

Below is a minimal example that demonstrates the behavior I'm seeing.

```python
impor"
4051,Add AEO quality badge to README (score: 55/100),2026-04-01 05:45:12+00:00,2026-04-11 08:33:59+00:00,closed,1,[],"Hi! I'm behind [Clarvia](https://clarvia.art) — an open quality scoring platform for AI tools and developer libraries.

**Rich** has an AEO (Agent Experience Optimization) score of **55/100** on Clarvia.

Embed a live badge in your README:
```markdown
[![AEO Score](https://clarvia.art/api/badge/rich)](https://clarvia.art/tool/rich)
```

Full profile: https://clarvia.art/tool/rich — AI agent discoverability analysis."
4050,"[Typo] Standardize library name to ""Rich"" in README.ja.md",2026-03-31 02:23:56+00:00,,open,1,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

<!-- 
WAIT! Is this a feature request?

Rich isn't accepting new features. If it can be implemented in a third-party library, then that is what I recommend.

Rich *may* accept enhancements to existing featur"
4049,Feature Request: Add support for measurement units in ReprHighlighter,2026-03-29 11:47:23+00:00,2026-04-12 04:15:42+00:00,closed,3,['Needs triage'],"Currently, ReprHighlighter handles numeric literals well, but it treats trailing measurement units (like GB, ms, %) as plain text. This makes technical logs and performance metrics harder to scan quickly, as the unit doesn't share the same visual importance or distinct styling as the number it belongs to.

I've developed an enhancement for the number regex in ReprHighlighter to include an optional number_unit named group. This allows Rich to recognize and style common units (TB, GB, MB, KB, B, m"
4044,Vulnerability found,2026-03-26 11:14:03+00:00,2026-04-11 08:37:20+00:00,closed,3,[],"Hello,

Apologies for the message and if it will be confusing but running pip-audit coming from rich, I noticed this:

```shell
Requirement already satisfied: mdurl~=0.1 in /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages (from markdown-it-py>=2.2.0->rich>=12.4->pip-audit) (0.1.2)
Found 2 known vulnerabilities in 2 packages
Name     Version ID             Fix Versions Description
-------- ------- -------------- ------------ ----------------------------------------------------"
4043,test - will delete,2026-03-25 02:37:55+00:00,2026-03-25 02:38:09+00:00,closed,2,[],test
