number,title,created_at,closed_at,state,comments,labels,body
10643,Which Axios versions were affected and which version is safe to use?,2026-04-03 15:00:09+00:00,2026-04-04 20:01:40+00:00,closed,5,[],"Hi

I recently saw reports that some versions of Axios were compromised and contained malicious code, so I want to clarify before using it in my project.

From what I understand, the affected versions were:

* axios@1.14.1
* axios@0.30.4

I would like to confirm:

1. Are these the only compromised versions?
2. Which version is currently safe to use in production?
3. Is it safe to install the latest version now?

I am using Bun and planning to use Axios in a React project, so I want to make sure "
10642,dont know if im infected,2026-04-03 06:49:34+00:00,2026-04-04 10:43:21+00:00,closed,2,[],"Im new to the npm thing and i followed the stepguide to check if im infected dont know if im safe though

<img width=""1105"" height=""281"" alt=""Image"" src=""https://github.com/user-attachments/assets/59e1fd11-6988-42d0-bd84-927cdd48a46b"" />
<img width=""644"" height=""110"" alt=""Image"" src=""https://github.com/user-attachments/assets/7fc5dcfe-7583-431e-a38f-f824112b08f5"" />

<img width=""1628"" height=""163"" alt=""Image"" src=""https://github.com/user-attachments/assets/fbfb0609-5b23-4a0f-8131-a2d491564126"" /"
10636,Post Mortem: axios npm supply chain compromise,2026-04-02 15:06:54+00:00,,open,82,['type::security'],"# Post Mortem: axios npm supply chain compromise

**Date:** March 31, 2026
**Author:** Jason Saayman
**Status:** Remediation in progress

On March 31, 2026, two malicious versions of axios (1.14.1 and 0.30.4) were published to the npm registry through my compromised account. Both versions injected a dependency called `plain-crypto-js@4.2.1` that installed a remote access trojan on macOS, Windows, and Linux.

The malicious versions were live for about 3 hours before being removed.

## Are you aff"
10631,Security: Header Injection Vulnerability in dispatchRequest,2026-04-02 11:27:18+00:00,2026-04-02 14:31:12+00:00,closed,1,[],"# Security: Header Injection Vulnerability in dispatchRequest

Hi folks! This issue was found by our company's static analyzer, and I plan to create a PR to fix it if you think it makes sense.

## Summary

There is a header injection vulnerability in axios where unvalidated HTTP response headers from servers are included in responses without proper sanitization. This allows attackers to inject CRLF and null byte characters, enabling attacks such as:

- Cache poisoning
- Cross-site scripting (XSS"
10630,[SECURITY] axios@1.14.1 compromised - contains malicious dependency plain-crypto-js (Trojan/VBS.Runner.bg),2026-04-02 08:50:44+00:00,2026-04-02 10:43:17+00:00,closed,2,[],"## Summary

`axios@1.14.1` (published 2026-03-31) has been compromised with a malicious dependency `plain-crypto-js`, which executes a trojan downloader (`Trojan/VBS.Runner.bg`) on install.

## Affected Version

- **axios@1.14.1** (`sha512: vF/aB4vrIzLyOb2TB9gpuE8gusNHpZqk2ZZcAqSnRjW5IcY7tFSBEurD2tbakohj0Rw5xMHYwjSqOGSfr0iewA==`)
- **axios@0.30.4** (published same day, potentially also affected — needs verification)
- **axios@1.14.0 is CLEAN** — does not contain this dependency

## Malicious Dep"
10620,Anatomy of a Supply Chain Attack: Inside the Axios NPM Compromise,2026-04-01 04:52:55+00:00,2026-04-01 06:54:18+00:00,closed,0,[],"<img width=""1200"" height=""630"" alt=""Image"" src=""https://github.com/user-attachments/assets/ad32b5a7-282e-4c85-84fd-182b59e7ed0d"" />

https://securityinfinity.com/blog/axios-npm-supply-chain-compromise-2025"
10614,README beforeRedirect example bypasses follow-redirects credential-stripping protection,2026-03-31 16:29:51+00:00,2026-04-04 19:31:11+00:00,closed,4,"['issue::documentation', 'issue::enhancement']","## Summary

The `beforeRedirect` config example in the README re-injects credentials **after** `follow-redirects` has stripped them for security, bypassing the library's built-in protection against credential leakage on protocol downgrades.

## The README example (Request Config section)

```js
beforeRedirect: (options, { headers }) => {
  if (options.hostname === ""example.com"") {
    options.auth = ""user:password"";
  }
},
```

## Why this is a problem

`follow-redirects` includes a security mec"
10613,Adopt GitHub immutable releases,2026-03-31 16:24:53+00:00,2026-04-01 10:37:31+00:00,closed,5,[],"Hi,

This is probably not as important as adopting [npm trusted publishing](https://github.com/axios/axios/issues/7055) but due to recent news with axios being compromised its worth pointing out that the GitHub releases can now be made immutable: https://docs.github.com/en/code-security/concepts/supply-chain-security/immutable-releases


So yeah, it is rather highly recommended to enable this as well :)."
10611,[Security] Supply-chain compromise: axios@1.14.1 / 0.30.4 — scanner script for affected users,2026-03-31 15:34:23+00:00,2026-03-31 20:59:20+00:00,closed,1,[],"## Security Advisory: Axios Supply-Chain Attack (March 2026)

This issue shares a community scanner script to help engineers check whether their systems were affected by the recent axios supply-chain compromise.

> **If you are an axios maintainer:** please consider pinning this issue or linking it from the README until a formal security advisory is published.

---

### Incident Summary

| IOC | Value |
|-----|-------|
| Malicious axios versions | `1.14.1`, `0.30.4` |
| Injected dependency | `pl"
10610,Deprecation Warning: url.parse() is deprecated in Node.js v22 (via follow-redirects),2026-03-31 10:47:44+00:00,2026-04-02 07:03:00+00:00,closed,1,['issue::testing'],"Hi team!

I'm reaching out to report that using Axios in a Node.js v22 environment is triggering the following deprecation warning:

`(node:70238) [DEP0169] DeprecationWarning: `url.parse()` behavior is not standardized and prone to errors that have security implications. Use the WHATWG URL API instead. CVEs are not issued for `url.parse()` vulnerabilities.`

This warning appears to be surfacing primarily through the follow-redirects dependency. While it is currently just a console warning, the "
10606,Suggest release version 1.14.2,2026-03-31 10:12:27+00:00,2026-04-01 07:11:43+00:00,closed,12,[],"I believe it is necessary to release version 1.14.2 to prevent more people from continuing to use version 1.14.1

For example, this 1.14.1 Pull request by [dependabot](https://github.com/apps/dependabot) at 9 hours ago and merge at 1 hour ago:  
https://github.com/nodetool-ai/nodetool/pull/2473

See #10604 "
10605,axios最新版投毒了？？？？,2026-03-31 08:18:55+00:00,2026-03-31 08:22:05+00:00,closed,3,[],
10604,axios@1.14.1 and axios@0.30.4 are compromised,2026-03-31 03:00:27+00:00,2026-04-01 06:20:19+00:00,closed,317,[],"more details: https://www.stepsecurity.io/blog/axios-compromised-on-npm-malicious-versions-drop-remote-access-trojan

Most likely, a maintainer's GitHub and npm accounts are compromised as these issues are getting deleted.

I have also reported this as a vulnerability, so that a CVE can be generated."
10585,Jest test fails since axios v1.14.0,2026-03-30 16:02:28+00:00,,open,5,['issue::bug'],"Hello,

Since the update to axios@1.14.0, my jest tests fail with this error:

```
TypeError: Cannot cancel a stream that already has a reader
```

This error has been introduced by this change : #7515

I am in an Expo project using jest with jest-expo preset, here is the repo to reproduce the issue : https://github.com/alex-fournier/jest-expo-axios
"
10581,FYI: coordinated automated PR campaign across HTTP client libraries — one docs PR merged here,2026-03-30 05:09:53+00:00,2026-03-30 06:04:35+00:00,closed,1,[],"## Summary

Your team merged PR #7478 from **nthbotast** (a JSDoc comment fix — zero functional change, LOW risk). I wanted to flag that this account appears to be part of a broader pattern of automated PRs across multiple JavaScript HTTP client libraries.

## The Pattern

The account nthbotast (created February 27, 2026, 160 PRs in 31 days, 0 followers, AI-assisted PR generation referencing ""cubic"") submitted source code PRs targeting proxy and credential handling on three HTTP client libraries"
10558,Failed requests can sometimes crash the Node.js process with EPIPE.,2026-03-25 03:13:55+00:00,,open,1,"['priority::medium', 'issue::performance']","In production our Node.js processes occasionally crash with the following `uncaughtException`

```
node:events:486
      throw er; // Unhandled 'error' event
      ^

Error: write EPIPE
    at WriteWrap.onWriteComplete [as oncomplete] (node:internal/stream_base_commons:87:19)
Emitted 'error' event on Socket instance at:
    at emitErrorNT (node:internal/streams/destroy:170:8)
    at emitErrorCloseNT (node:internal/streams/destroy:129:3)
    at process.processTicksAndRejections (node:internal/pro"
7535,http2 not available,2026-03-20 04:19:06+00:00,,open,3,['issue::documentation'],"```
{
  maxRedirects: 0,
  timeout: 30000,
  proxy: false,
  httpVersion: 2,
  responseType: ""arraybuffer"",
  headers: {
    accept: ""application/json, text/html;q=0.9, application/xhtml+xml;q=0.8, */*;q=0.7"",
    ""accept-language"": ""zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6"",
    dnt: ""1"",
    ""sec-fetch-site"": ""same-origin"",
    ""sec-fetch-user"": ""?1"",
    ""x-requested-with"": ""fetch"",
    pragma: ""no-cache"",
    priority: ""u=1, i"",
    ""sec-ch-ua"": ""\""Microsoft Edge\"";v=\""143\"", \""Chromi"
7527,need upgrade CommonRequestHeadersList,2026-03-17 09:52:04+00:00,,open,0,['issue::enhancement'],"https://github.com/axios/axios/blob/main/index.d.cts#L13

```typescript
type CommonRequestHeadersList = 'Accept' | 'Content-Length' | 'User-Agent'| 'Content-Encoding' | 'Authorization';
```

for example need to append `'Location'`
```
Location
Indicates the URL to redirect a page to.
```
https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers#redirects"
7524,https://github.com/Nearblocks/nearblocks/issues/1374,2026-03-17 00:18:00+00:00,2026-03-17 06:34:21+00:00,closed,0,['issue::invalid'],
7523,https://github.com/Nearblocks/nearblocks/issues/1374,2026-03-17 00:17:45+00:00,2026-03-17 06:34:24+00:00,closed,0,['issue::invalid'],
7519,Types Refactor: Duplicating literal types in Method & responseEncoding,2026-03-16 15:01:22+00:00,,open,1,['issue::enhancement'],"There are duplicate literals in the Method and responseEncoding types. These can be simplified using native TypeScript utilities (Uppercase/Lowercase) and a single source of truth (e.g. `type UppercaseMethod = 'GET' | 'POST' | ...`).


# ResponseEncoding
```
  type responseEncoding =
    | 'ascii'
    | 'ASCII'
    | 'ansi'
    | 'ANSI'
    | 'binary'
    | 'BINARY'
    | 'base64'
    | 'BASE64'
    | 'base64url'
    | 'BASE64URL'
    | 'hex'
    | 'HEX'
    | 'latin1'
    | 'LATIN1'
    | 'ucs-"
7496,bug: Silent failure when data.getLength fails in Node http adapter,2026-03-13 14:46:42+00:00,2026-03-15 11:09:10+00:00,closed,4,['issue::bug'],"## Summary
In the Node.js http adapter, when using the form-data package, Axios attempts to calculate the Content-Length using data.getLength. However, the current implementation wraps this call in a silent try...catch block.

If getLength fails (e.g., due to an issue with a file stream inside the form), the catch block silently swallows the error, and the request proceeds without a Content-Length header. This often results in a 411 Length Required or a mysterious 400 Bad Request from servers, m"
7494,Fetch Adapter: Content length header is missing in POST request,2026-03-12 18:52:48+00:00,,open,5,['issue::bug'],"using axios 1.13.6, it seems several headers are not included compared to the default adapter.

the headers below are auto generated when using the default adapter but not in the fetch adapter:

- User-Agent
- Content-Length
- Accept-Encoding
- Host
- Connection"
7487,typings bug (not type safety): class field type of AxiosHeaders => any,2026-03-08 12:17:42+00:00,,open,0,['issue::bug'],"https://github.com/axios/axios/blob/v1.x/index.d.ts#L36

```typescript
export class AxiosHeaders {
  constructor(headers?: RawAxiosHeaders | AxiosHeaders | string);

  [key: string]: any;
```

=> because of this, TypeScript won't see the error in this code:

```typescript
axiosInstance.interceptors.request.use(async (requestConfig) => {
      requestConfig.headers.someCustomHeader = Promise.resolve('foo');

      return requestConfig;
});
```

We need constraints on the type of AxiosHeaders fiel"
7482,Closed by author,2026-03-06 15:16:21+00:00,2026-03-06 16:00:56+00:00,closed,0,['issue::invalid'],This issue was opened in error and has been retracted.
7474,The comment of the function `encode()` not updated after fix the issue 3316 in the issue 5715,2026-03-04 08:13:23+00:00,2026-03-12 13:29:28+00:00,closed,0,['issue::documentation'],The comment of the function `encode()` isn't updated in `lib/helpers/buildURL.js` after fix the issue #3316 in the issue #5715.
7470,Feature request: a way to close active HTTP/2 sessions,2026-03-03 20:35:48+00:00,,open,1,['issue::feature'],"## Problem

Currently when using http2 protocol in Axios (Node.js), it manages the lifecycle of the http2 sessions (TCP sockets). However, there is no public-facing API to manually terminate these sessions, e.g. on graceful shutdown. Those sessions could live a few minutes even without new requests. It is possible to use small values for `http2Options.sessionTimeout`, but this is not very reasonable (personally Im going to use 30-120 sec). In other case, not specifying `http2Options.sessionTimeo"
